common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
NA,Abralia,NA (_Abralia_),82406,9555,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abralia trigonura,NA (_Abralia trigonura_),556021,9556,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis,NA (_Abraliopsis_),82398,9560,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis affinis,NA (_Abraliopsis affinis_),82402,9559,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis felis,NA (_Abraliopsis felis_),82401,9561,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis sp A,NA (_Abraliopsis sp A_),82398,9562,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Abraliopsis sp B,NA (_Abraliopsis sp B_),82398,9563,44500,erdCalCOFIlrvcntAtoAM.csv
Sergeant majors,Abudefduf,Sergeant majors (_Abudefduf_),170045,623,44500,erdCalCOFIlrvcntAtoAM.csv
Wahoo,Acanthocybium solandri,Wahoo (_Acanthocybium solandri_),172451,576,44500,erdCalCOFIlrvcntAtoAM.csv
Surgeonfishes,Acanthuridae,Surgeonfishes (_Acanthuridae_),172250,585,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Acanthurus,NA (_Acanthurus_),172251,2190,44500,erdCalCOFIlrvcntAtoAM.csv
Convict surgeonfish,Acanthurus triostegus,Convict surgeonfish (_Acanthurus triostegus_),172270,588,44500,erdCalCOFIlrvcntAtoAM.csv
Pacific lined sole,Achirus mazatlanus,Pacific lined sole (_Achirus mazatlanus_),172989,969,44500,erdCalCOFIlrvcntAtoAM.csv
Poachers,Agonidae,Poachers (_Agonidae_),167426,760,44500,erdCalCOFIlrvcntAtoAM.csv
Southern spearnose,Agonopsis sterletus,Southern spearnose (_Agonopsis sterletus_),167431,766,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Ahliesaurus brevis,NA (_Ahliesaurus brevis_),644705,1200,44500,erdCalCOFIlrvcntAtoAM.csv
Giant grenadier,Albatrossia pectoralis,Giant grenadier (_Albatrossia pectoralis_),165341,896,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Albula,NA (_Albula_),161120,7,44500,erdCalCOFIlrvcntAtoAM.csv
Longnose lancetfish,Alepisaurus ferox,Longnose lancetfish (_Alepisaurus ferox_),162527,211,44500,erdCalCOFIlrvcntAtoAM.csv
Slickheads,Alepocephalidae,Slickheads (_Alepocephalidae_),162303,35,44500,erdCalCOFIlrvcntAtoAM.csv
Island kelpfish,Alloclinus holderi,Island kelpfish (_Alloclinus holderi_),171465,828,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Amarsipus carlsbergi,NA (_Amarsipus carlsbergi_),642535,534,44500,erdCalCOFIlrvcntAtoAM.csv
Pacific sand lance,Ammodytes hexapterus,Pacific sand lance (_Ammodytes hexapterus_),171672,881,44500,erdCalCOFIlrvcntAtoAM.csv
NA,Ammodytoides gilli,NA (_Ammodytoides gilli_),630395,884,44500,erdCalCOFIlrvcntAtoAM.csv
Pyle's sandlance,Ammodytoides pylei,Pyle's sandlance (_Ammodytoides pylei_),630417,1969,44500,erdCalCOFIlrvcntAtoAM.csv
Wolf-eel,Anarrichthys ocellatus,Wolf-eel (_Anarrichthys ocellatus_),633876,862,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Anchoa,NA (_Anchoa_),161837,26,76143,erdCalCOFIlrvcntANtoAR.csv
Eels,Anguilliformes,Eels (_Anguilliformes_),161123,355,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Anisotremus,NA (_Anisotremus_),169080,602,76143,erdCalCOFIlrvcntANtoAR.csv
Sargo,Anisotremus davidsoni,Sargo (_Anisotremus davidsoni_),169087,601,76143,erdCalCOFIlrvcntANtoAR.csv
High cockscomb,Anoplarchus purpurescens,High cockscomb (_Anoplarchus purpurescens_),171564,847,76143,erdCalCOFIlrvcntANtoAR.csv
Sablefish (blackcod),Anoplopoma fimbria,Sablefish (blackcod) (_Anoplopoma fimbria_),167123,711,76143,erdCalCOFIlrvcntANtoAR.csv
Daggertooth,Anotopterus pharao,Daggertooth (_Anotopterus pharao_),162534,326,76143,erdCalCOFIlrvcntANtoAR.csv
Frogfishes,Antennariidae,Frogfishes (_Antennariidae_),164518,980,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Antennarius,NA (_Antennarius_),164522,981,76143,erdCalCOFIlrvcntANtoAR.csv
Roughjaw frogfish,Antennarius avalonis,Roughjaw frogfish (_Antennarius avalonis_),164529,977,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Anthiinae,NA (_Anthiinae_),167675,435,76143,erdCalCOFIlrvcntANtoAR.csv
Pacific black scabbardfish,Aphanopus arigato,Pacific black scabbardfish (_Aphanopus arigato_),646749,2240,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Apogon,NA (_Apogon_),168197,444,76143,erdCalCOFIlrvcntANtoAR.csv
Plain cardinalfish,Apogon atricaudus,Plain cardinalfish (_Apogon atricaudus_),642065,459,76143,erdCalCOFIlrvcntANtoAR.csv
Guadalupe Cardinalfish,Apogon guadalupensis,Guadalupe Cardinalfish (_Apogon guadalupensis_),168211,1630,76143,erdCalCOFIlrvcntANtoAR.csv
Barspot cardinalfish,Apogon retrosella,Barspot cardinalfish (_Apogon retrosella_),168278,462,76143,erdCalCOFIlrvcntANtoAR.csv
Cardinalfishes,Apogonidae,Cardinalfishes (_Apogonidae_),168196,445,76143,erdCalCOFIlrvcntANtoAR.csv
Ribbon barracudina,Arctozenus risso,Ribbon barracudina (_Arctozenus risso_),644687,317,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Argentina,NA (_Argentina_),162061,57,76143,erdCalCOFIlrvcntANtoAR.csv
Pacific argentine,Argentina sialis,Pacific argentine (_Argentina sialis_),162068,56,76143,erdCalCOFIlrvcntANtoAR.csv
Argentines,Argentinidae,Argentines (_Argentinidae_),162057,55,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Argyropelecus,NA (_Argyropelecus_),162213,101,76143,erdCalCOFIlrvcntANtoAR.csv
Slender hatchetfish,Argyropelecus affinis,Slender hatchetfish (_Argyropelecus affinis_),162216,103,76143,erdCalCOFIlrvcntANtoAR.csv
Spurred hatchetfish,Argyropelecus hemigymnus,Spurred hatchetfish (_Argyropelecus hemigymnus_),162219,104,76143,erdCalCOFIlrvcntANtoAR.csv
Tropical hatchetfish,Argyropelecus lychnus,Tropical hatchetfish (_Argyropelecus lychnus_),162214,102,76143,erdCalCOFIlrvcntANtoAR.csv
Lowcrest hatchetfish,Argyropelecus sladeni,Lowcrest hatchetfish (_Argyropelecus sladeni_),162221,105,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Ariosoma,NA (_Ariosoma_),161343,1030,76143,erdCalCOFIlrvcntANtoAR.csv
Gilbert's conger,Ariosoma gilberti,Gilbert's conger (_Ariosoma gilberti_),635894,359,76143,erdCalCOFIlrvcntANtoAR.csv
Large-eye conger eel,Ariosoma marginatum,Large-eye conger eel (_Ariosoma marginatum_),635690,1031,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Aristostomias,NA (_Aristostomias_),162273,1170,76143,erdCalCOFIlrvcntANtoAR.csv
Shiny loosejaw,Aristostomias scintillans,Shiny loosejaw (_Aristostomias scintillans_),162274,151,76143,erdCalCOFIlrvcntANtoAR.csv
NA,Artedius,NA (_Artedius_),167211,737,76143,erdCalCOFIlrvcntANtoAR.csv
Padded sculpin,Artedius fenestralis,Padded sculpin (_Artedius fenestralis_),167212,745,76143,erdCalCOFIlrvcntANtoAR.csv
Scalyhead sculpin,Artedius harringtoni,Scalyhead sculpin (_Artedius harringtoni_),167213,738,76143,erdCalCOFIlrvcntANtoAR.csv
Smoothhead sculpin,Artedius lateralis,Smoothhead sculpin (_Artedius lateralis_),167214,748,76143,erdCalCOFIlrvcntANtoAR.csv
Rosylip sculpin,Ascelichthys rhodorus,Rosylip sculpin (_Ascelichthys rhodorus_),167218,732,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Aseraggodes,NA (_Aseraggodes_),172996,2311,76143,erdCalCOFIlrvcntAStoBA.csv
Razorback scabbardfish,Assurger anzac,Razorback scabbardfish (_Assurger anzac_),172397,2245,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Astronesthes,NA (_Astronesthes_),162234,113,76143,erdCalCOFIlrvcntAStoBA.csv
Snaggletooths,Astronesthinae,Snaggletooths (_Astronesthinae_),622316,110,76143,erdCalCOFIlrvcntAStoBA.csv
Arrowtooth flounder,Atheresthes stomias,Arrowtooth flounder (_Atheresthes stomias_),172862,959,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Atherinella,NA (_Atherinella_),630593,172,76143,erdCalCOFIlrvcntAStoBA.csv
Topsmelt,Atherinops affinis,Topsmelt (_Atherinops affinis_),165986,171,76143,erdCalCOFIlrvcntAStoBA.csv
Silversides,Atherinopsidae,Silversides (_Atherinopsidae_),630579,470,76143,erdCalCOFIlrvcntAStoBA.csv
Jacksmelt,Atherinopsis californiensis,Jacksmelt (_Atherinopsis californiensis_),166012,173,76143,erdCalCOFIlrvcntAStoBA.csv
White seabass,Atractoscion nobilis,White seabass (_Atractoscion nobilis_),169387,609,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Aulopus,NA (_Aulopus_),162370,201,76143,erdCalCOFIlrvcntAStoBA.csv
Eastern Pacific flagfin,Aulopus bajacali,Eastern Pacific flagfin (_Aulopus bajacali_),644741,1185,76143,erdCalCOFIlrvcntAStoBA.csv
Tubesnout,Aulorhynchus flavidus,Tubesnout (_Aulorhynchus flavidus_),166404,794,76143,erdCalCOFIlrvcntAStoBA.csv
Chinese trumpetfish,Aulostomus chinensis,Chinese trumpetfish (_Aulostomus chinensis_),166412,1480,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Auxis,NA (_Auxis_),172454,561,76143,erdCalCOFIlrvcntAStoBA.csv
Smalleye snipe eel,Avocettina bowersi,Smalleye snipe eel (_Avocettina bowersi_),635878,373,76143,erdCalCOFIlrvcntAStoBA.csv
Blackline snipe eel,Avocettina infans,Blackline snipe eel (_Avocettina infans_),161619,333,76143,erdCalCOFIlrvcntAStoBA.csv
Finescale triggerfish,Balistes polylepis,Finescale triggerfish (_Balistes polylepis_),173140,417,76143,erdCalCOFIlrvcntAStoBA.csv
Triggerfishes,Balistidae,Triggerfishes (_Balistidae_),173128,415,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Bathophilus,NA (_Bathophilus_),162243,131,76143,erdCalCOFIlrvcntAStoBA.csv
Deepbody dragonfish,Bathophilus brevis,Deepbody dragonfish (_Bathophilus brevis_),622372,1158,76143,erdCalCOFIlrvcntAStoBA.csv
Threadfin dragonfish,Bathophilus filifer,Threadfin dragonfish (_Bathophilus filifer_),622559,132,76143,erdCalCOFIlrvcntAStoBA.csv
Highfin dragonfish,Bathophilus flemingi,Highfin dragonfish (_Bathophilus flemingi_),162244,133,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Bathyagonus,NA (_Bathyagonus_),167444,1530,76143,erdCalCOFIlrvcntAStoBA.csv
Bigeye starsnout,Bathyagonus pentacanthus,Bigeye starsnout (_Bathyagonus pentacanthus_),167450,761,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Bathycongrus,NA (_Bathycongrus_),635345,1015,76143,erdCalCOFIlrvcntAStoBA.csv
Shorthead conger,Bathycongrus macrurus,Shorthead conger (_Bathycongrus macrurus_),635917,357,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Bathylaco nigricans,NA (_Bathylaco nigricans_),162367,39,76143,erdCalCOFIlrvcntAStoBA.csv
Blacksmelts,Bathylagidae,Blacksmelts (_Bathylagidae_),162080,65,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Bathylagoides,NA (_Bathylagoides_),623317,1085,76143,erdCalCOFIlrvcntAStoBA.csv
Blackchin blacksmelt,Bathylagoides nigrigenys,Blackchin blacksmelt (_Bathylagoides nigrigenys_),182855,67,76143,erdCalCOFIlrvcntAStoBA.csv
Snubnose blacksmelt,Bathylagoides wesethi,Snubnose blacksmelt (_Bathylagoides wesethi_),162092,71,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Bathylagus,NA (_Bathylagus_),162081,70,76143,erdCalCOFIlrvcntAStoBA.csv
Pacific blacksmelt,Bathylagus pacificus,Pacific blacksmelt (_Bathylagus pacificus_),162086,69,76143,erdCalCOFIlrvcntAStoBA.csv
Javelin spookfish,Bathylychnops exilis,Javelin spookfish (_Bathylychnops exilis_),162109,54,76143,erdCalCOFIlrvcntAStoBA.csv
Ronquils,Bathymasteridae,Ronquils (_Bathymasteridae_),170945,855,76143,erdCalCOFIlrvcntAStoBA.csv
Tripod fishes,Bathypterois,Tripod fishes (_Bathypterois_),162439,214,76143,erdCalCOFIlrvcntAStoBA.csv
NA,Benthalbella,NA (_Benthalbella_),162549,334,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Northern pearleye,Benthalbella dentata,Northern pearleye (_Benthalbella dentata_),162550,336,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Zugmayer's pearleye,Benthalbella infans,Zugmayer's pearleye (_Benthalbella infans_),162552,1191,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Benthosema,NA (_Benthosema_),162679,216,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Bermuda lanternfish,Hygophum hygomii,Bermuda lanternfish (_Hygophum hygomii_),623714,1286,76143,erdCalCOFIlrvcntHJtoID.csv
Blue lanternfish,Tarletonbeania crenularis,Blue lanternfish (_Tarletonbeania crenularis_),162673,299,55217,erdCalCOFIlrvcntSUtoTE.csv
NA,Benthosema suborbitale,NA (_Benthosema suborbitale_),162682,219,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Splendid alfonsino,Beryx splendens,Splendid alfonsino (_Beryx splendens_),166156,1420,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Combtooth Blennies,Blenniidae,Combtooth Blennies (_Blenniidae_),171124,850,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Blennioidei,NA (_Blennioidei_),171123,845,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Mexican hogfish,Bodianus diplotaenia,Mexican hogfish (_Bodianus diplotaenia_),170494,1840,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Bolinichthys,NA (_Bolinichthys_),162761,254,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Bolinichthys distofax,NA (_Bolinichthys distofax_),623739,1255,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Popeye lampfish,Bolinichthys longipes,Popeye lampfish (_Bolinichthys longipes_),623750,255,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Borophryne,NA (_Borophryne_),622778,974,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Netdevil,Borophryne apogon,Netdevil (_Borophryne apogon_),622907,972,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Snaggletooth,Borostomias,Snaggletooth (_Borostomias_),162239,1155,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Panama snaggletooth,Borostomias panamensis,Panama snaggletooth (_Borostomias panamensis_),162241,115,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Lefteye Flounders,Bothidae,Lefteye Flounders (_Bothidae_),172714,916,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Rockhead,Bothragonus swani,Rockhead (_Bothragonus swani_),167447,767,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Bothus,NA (_Bothus_),172758,917,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Pacific leopard flounder,Bothus leopardinus,Pacific leopard flounder (_Bothus leopardinus_),616278,918,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Leopard flounder,Bothus pantherinus,Leopard flounder (_Bothus pantherinus_),172764,2270,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Brama,NA (_Brama_),170288,551,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Lowfin pomfret,Brama dussumieri,Lowfin pomfret (_Brama dussumieri_),170292,553,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Pacific pomfret,Brama japonica,Pacific pomfret (_Brama japonica_),170289,552,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Pomfrets,Bramidae,Pomfrets (_Bramidae_),170287,550,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Bregmaceros,NA (_Bregmaceros_),164695,886,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Codlet,Bregmaceros bathymaster,Codlet (_Bregmaceros bathymaster_),550687,887,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Red brotula,Brosmophycis marginata,Red brotula (_Brosmophycis marginata_),164809,866,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Brotula,NA (_Brotula_),164817,1315,76143,erdCalCOFIlrvcntBCEtoBZ.csv
NA,Brotula clarkae,NA (_Brotula clarkae_),164821,784,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Livebearing Brotulas,Bythitidae,Livebearing Brotulas (_Bythitidae_),165140,865,76143,erdCalCOFIlrvcntBCEtoBZ.csv
Pacific porgy,Calamus brachysomus,Pacific porgy (_Calamus brachysomus_),169204,607,76143,erdCalCOFIlrvcntCtoCE.csv
Dragonets,Callionymidae,Dragonets (_Callionymidae_),171691,2100,76143,erdCalCOFIlrvcntCtoCE.csv
NA,Calotomus,NA (_Calotomus_),170871,1906,76143,erdCalCOFIlrvcntCtoCE.csv
Rough triggerfish,Canthidermis maculatus,Rough triggerfish (_Canthidermis maculatus_),646452,418,76143,erdCalCOFIlrvcntCtoCE.csv
Jacks,Carangidae,Jacks (_Carangidae_),168584,500,76143,erdCalCOFIlrvcntCtoCE.csv
NA,Caranx,NA (_Caranx_),168605,501,76143,erdCalCOFIlrvcntCtoCE.csv
Green jack,Caranx caballus,Green jack (_Caranx caballus_),168611,502,76143,erdCalCOFIlrvcntCtoCE.csv
Bigeye crevalle jack,Caranx sexfasciatus,Bigeye crevalle jack (_Caranx sexfasciatus_),168620,503,76143,erdCalCOFIlrvcntCtoCE.csv
Pearlfishes,Carapidae,Pearlfishes (_Carapidae_),165094,875,76143,erdCalCOFIlrvcntCtoCE.csv
Veilfins,Caristiidae,Veilfins (_Caristiidae_),168820,558,76143,erdCalCOFIlrvcntCtoCE.csv
Manefin,Caristius maderensis,Manefin (_Caristius maderensis_),645450,559,76143,erdCalCOFIlrvcntCtoCE.csv
Rubynose brotula,Cataetyx rubrirostris,Rubynose brotula (_Cataetyx rubrirostris_),164905,867,76143,erdCalCOFIlrvcntCtoCE.csv
NA,Caulolatilus,NA (_Caulolatilus_),168539,812,76143,erdCalCOFIlrvcntCtoCE.csv
Ocean whitefish,Caulolatilus princeps,Ocean whitefish (_Caulolatilus princeps_),168540,811,76143,erdCalCOFIlrvcntCtoCE.csv
Fanfins,Caulophryne,Fanfins (_Caulophryne_),164660,987,76143,erdCalCOFIlrvcntCtoCE.csv
NA,Caulophryne pelagica,NA (_Caulophryne pelagica_),649743,988,76143,erdCalCOFIlrvcntCtoCE.csv
NA,Cebidichthys violaceus,NA (_Cebidichthys violaceus_),171618,2006,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Centrobranchus andreae,NA (_Centrobranchus andreae_),162734,1283,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
California lanternfish,Symbolophorus californiensis,California lanternfish (_Symbolophorus californiensis_),623871,296,55217,erdCalCOFIlrvcntSUtoTE.csv
NA,Centrophryne spinulosa,NA (_Centrophryne spinulosa_),164652,983,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
Snooks,Centropomus,Snooks (_Centropomus_),167643,604,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Centropyge,NA (_Centropyge_),169610,1775,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Ceratias,NA (_Ceratias_),164654,1355,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
Northern giant seadevil,Ceratias holboelli,Northern giant seadevil (_Ceratias holboelli_),164655,979,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Ceratioidei,NA (_Ceratioidei_),164610,990,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Ceratoscopelus,NA (_Ceratoscopelus_),162576,225,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
Dogtooth lampfish,Ceratoscopelus townsendi,Dogtooth lampfish (_Ceratoscopelus townsendi_),162577,226,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Ceratoscopelus warmingii,NA (_Ceratoscopelus warmingii_),623722,224,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
Wormfish,Cerdale,Wormfish (_Cerdale_),172168,2155,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Cetengraulis,NA (_Cetengraulis_),161860,32,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
Anchoveta,Cetengraulis mysticetus,Anchoveta (_Cetengraulis mysticetus_),161862,33,152286,erdCalCOFIlrvcntCDtoCH.csv|erdCalCOFIlrvcntCtoCE.csv
NA,Chaenophryne,NA (_Chaenophryne_),164626,982,76143,erdCalCOFIlrvcntCDtoCH.csv
Tube Blennies,Chaenopsidae,Tube Blennies (_Chaenopsidae_),171550,823,76143,erdCalCOFIlrvcntCDtoCH.csv
Orangethroat pikeblenny,Chaenopsis alepidota,Orangethroat pikeblenny (_Chaenopsis alepidota_),171467,824,76143,erdCalCOFIlrvcntCDtoCH.csv
Pacific spadefish,Chaetodipterus zonatus,Pacific spadefish (_Chaetodipterus zonatus_),169540,616,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chaetodipterus zonatus,NA (_Chaetodipterus zonatus_),169540,1735,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chaetodon,NA (_Chaetodon_),169555,1750,76143,erdCalCOFIlrvcntCDtoCH.csv
Butterflyfishes,Chaetodontidae,Butterflyfishes (_Chaetodontidae_),169554,608,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Champsodon,NA (_Champsodon_),171081,1945,76143,erdCalCOFIlrvcntCDtoCH.csv
Milkfish,Chanos chanos,Milkfish (_Chanos chanos_),162838,34,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chauliodus,NA (_Chauliodus_),162278,154,76143,erdCalCOFIlrvcntCDtoCH.csv
Pacific viperfish,Chauliodus macouni,Pacific viperfish (_Chauliodus macouni_),162279,156,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chauliodus sloani,NA (_Chauliodus sloani_),162281,157,76143,erdCalCOFIlrvcntCDtoCH.csv
Gapers,Chaunacidae,Gapers (_Chaunacidae_),164569,985,76143,erdCalCOFIlrvcntCDtoCH.csv
"Merwongs, fingerfins",Cheilodactylus,"Merwongs, fingerfins (_Cheilodactylus_)",170253,633,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Cheilopogon,NA (_Cheilopogon_),165433,183,76143,erdCalCOFIlrvcntCDtoCH.csv
Blackspot flyingfish,Cheilopogon dorsomaculata,Blackspot flyingfish (_Cheilopogon dorsomaculata_),645284,193,76143,erdCalCOFIlrvcntCDtoCH.csv
Blotchwing blyingfish,Cheilopogon heterurus,Blotchwing blyingfish (_Cheilopogon heterurus_),616688,184,76143,erdCalCOFIlrvcntCDtoCH.csv
California flyingfish,Cheilopogon pinnatibarbatus,California flyingfish (_Cheilopogon pinnatibarbatus_),616685,178,76143,erdCalCOFIlrvcntCDtoCH.csv
Whitetip flyingfish,Cheilopogon xenopterus,Whitetip flyingfish (_Cheilopogon xenopterus_),645246,163,76143,erdCalCOFIlrvcntCDtoCH.csv
