common_name,scientific_name,common_scientific,itis_tsn,calcofi_species_code,n,paths
Black croaker,Cheilotrema saturnum,Black croaker (_Cheilotrema saturnum_),169358,614,76143,erdCalCOFIlrvcntCDtoCH.csv
Black brotula,Cherublemma emmelas,Black brotula (_Cherublemma emmelas_),164998,873,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chiasmodon,NA (_Chiasmodon_),171085,1935,76143,erdCalCOFIlrvcntCDtoCH.csv
Black swallower,Chiasmodon subniger,Black swallower (_Chiasmodon subniger_),171086,816,76143,erdCalCOFIlrvcntCDtoCH.csv
Swallowers,Chiasmodontidae,Swallowers (_Chiasmodontidae_),171084,815,76143,erdCalCOFIlrvcntCDtoCH.csv
Spotted cusk-eel,Chilara taylori,Spotted cusk-eel (_Chilara taylori_),165006,872,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chiloconger,NA (_Chiloconger_),635341,363,76143,erdCalCOFIlrvcntCDtoCH.csv
Burrfishes,Chilomycterus,Burrfishes (_Chilomycterus_),173383,2310,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chirolophis,NA (_Chirolophis_),171565,2007,76143,erdCalCOFIlrvcntCDtoCH.csv
decorated warbonnet,Chirolophis decoratus,decorated warbonnet (_Chirolophis decoratus_),171572,2009,76143,erdCalCOFIlrvcntCDtoCH.csv
Roughback sculpin,Chitonotus pugetensis,Roughback sculpin (_Chitonotus pugetensis_),167380,744,76143,erdCalCOFIlrvcntCDtoCH.csv
False Moray,Chlopsidae,False Moray (_Chlopsidae_),553181,1005,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chlopsis,NA (_Chlopsis_),161157,371,76143,erdCalCOFIlrvcntCDtoCH.csv
Greeneyes,Chlorophthalmus,Greeneyes (_Chlorophthalmus_),162428,325,76143,erdCalCOFIlrvcntCDtoCH.csv
Pacific bumper,Chloroscombrus orqueta,Pacific bumper (_Chloroscombrus orqueta_),168671,507,76143,erdCalCOFIlrvcntCDtoCH.csv
NA,Chromis,NA (_Chromis_),170079,1815,76143,erdCalCOFIlrvcntCDtoCH.csv
Scissortail damselfish,Chromis atrilobata,Scissortail damselfish (_Chromis atrilobata_),170102,648,76143,erdCalCOFIlrvcntCDtoCH.csv
Blacksmith,Chromis punctipinnis,Blacksmith (_Chromis punctipinnis_),170085,626,76143,erdCalCOFIlrvcntCDtoCH.csv
Hawkfishes,Cirrhitidae,Hawkfishes (_Cirrhitidae_),170222,1780,76143,erdCalCOFIlrvcntCItoCO.csv
Sanddabs,Citharichthys,Sanddabs (_Citharichthys_),172715,924,76143,erdCalCOFIlrvcntCItoCO.csv
Gulf sanddab,Citharichthys fragilis,Gulf sanddab (_Citharichthys fragilis_),172727,921,76143,erdCalCOFIlrvcntCItoCO.csv
Mimic sanddab,Citharichthys gordae,Mimic sanddab (_Citharichthys gordae_),616291,912,76143,erdCalCOFIlrvcntCItoCO.csv
Small sanddab,Citharichthys platophrys,Small sanddab (_Citharichthys platophrys_),616294,920,76143,erdCalCOFIlrvcntCItoCO.csv
Pacific sanddab,Citharichthys sordidus,Pacific sanddab (_Citharichthys sordidus_),172716,923,76143,erdCalCOFIlrvcntCItoCO.csv
Speckled sanddab,Citharichthys stigmaeus,Speckled sanddab (_Citharichthys stigmaeus_),172717,925,76143,erdCalCOFIlrvcntCItoCO.csv
Longfin sanddab,Citharichthys xanthostigma,Longfin sanddab (_Citharichthys xanthostigma_),172726,926,76143,erdCalCOFIlrvcntCItoCO.csv
NA,Clarkichthys bilineatus,NA (_Clarkichthys bilineatus_),637146,805,76143,erdCalCOFIlrvcntCItoCO.csv
Arrow goby,Clevelandia ios,Arrow goby (_Clevelandia ios_),171748,804,76143,erdCalCOFIlrvcntCItoCO.csv
Kelpfishes,Clinidae,Kelpfishes (_Clinidae_),171396,840,76143,erdCalCOFIlrvcntCItoCO.csv
NA,Clinocottus,NA (_Clinocottus_),167222,1525,76143,erdCalCOFIlrvcntCItoCO.csv
Wooly sculpin,Clinocottus analis,Wooly sculpin (_Clinocottus analis_),167227,746,76143,erdCalCOFIlrvcntCItoCO.csv
Pacific herring,Clupea pallasii,Pacific herring (_Clupea pallasii_),551209,20,76143,erdCalCOFIlrvcntCItoCO.csv
Herrings,Clupeidae,Herrings (_Clupeidae_),161700,15,76143,erdCalCOFIlrvcntCItoCO.csv
NA,Clupeiformes,NA (_Clupeiformes_),161694,9,76143,erdCalCOFIlrvcntCItoCO.csv
Atlantic sabertooth,Coccorella atlantica,Atlantic sabertooth (_Coccorella atlantica_),162537,1249,76143,erdCalCOFIlrvcntCItoCO.csv
Pygmy saury,Cololabis adocetus,Pygmy saury (_Cololabis adocetus_),165610,167,76143,erdCalCOFIlrvcntCItoCO.csv
Pacific saury,Cololabis saira,Pacific saury (_Cololabis saira_),165609,166,76143,erdCalCOFIlrvcntCItoCO.csv
Conger Eels,Congridae,Conger Eels (_Congridae_),161324,358,76143,erdCalCOFIlrvcntCItoCO.csv
NA,Coryphaena,NA (_Coryphaena_),168790,554,76143,erdCalCOFIlrvcntCItoCO.csv
Pompano dolphinfish,Coryphaena equiselis,Pompano dolphinfish (_Coryphaena equiselis_),168792,557,76143,erdCalCOFIlrvcntCItoCO.csv
Common dolphinfish,Coryphaena hippurus,Common dolphinfish (_Coryphaena hippurus_),168791,556,76143,erdCalCOFIlrvcntCItoCO.csv
Dolphinfishes,Coryphaenidae,Dolphinfishes (_Coryphaenidae_),168789,555,76143,erdCalCOFIlrvcntCItoCO.csv
Grenadiers,Coryphaenoides,Grenadiers (_Coryphaenoides_),165333,891,76143,erdCalCOFIlrvcntCItoCO.csv
Pacific grenadier,Coryphaenoides acrolepis,Pacific grenadier (_Coryphaenoides acrolepis_),165334,892,76143,erdCalCOFIlrvcntCItoCO.csv
Ghostly grenadier,Coryphaenoides leptolepis,Ghostly grenadier (_Coryphaenoides leptolepis_),622867,893,76143,erdCalCOFIlrvcntCItoCO.csv
Sculpins,Cottidae,Sculpins (_Cottidae_),167196,735,76143,erdCalCOFIlrvcntCItoCO.csv
NA,Cryptacanthodes aleutensis,NA (_Cryptacanthodes aleutensis_),171610,2005,61672,erdCalCOFIlrvcntCPtoDE.csv
Triplewart seadevil,Cryptopsaras couesii,Triplewart seadevil (_Cryptopsaras couesii_),623188,978,61672,erdCalCOFIlrvcntCPtoDE.csv
Deepwater kelpfish,Cryptotrema corallinum,Deepwater kelpfish (_Cryptotrema corallinum_),171472,832,61672,erdCalCOFIlrvcntCPtoDE.csv
South Pacific sandburrower,Crystallodytes cookei,South Pacific sandburrower (_Crystallodytes cookei_),171019,1962,61672,erdCalCOFIlrvcntCPtoDE.csv
Black surgeonfish,Ctenochaetus hawaiiensis,Black surgeonfish (_Ctenochaetus hawaiiensis_),172306,2200,61770,erdCalCOFIlrvcntCPtoDE.csv
NA,Cubiceps,NA (_Cubiceps_),172545,522,61672,erdCalCOFIlrvcntCPtoDE.csv
NA,Cubiceps baxteri,NA (_Cubiceps baxteri_),642573,526,61672,erdCalCOFIlrvcntCPtoDE.csv
Bigeye cigarfish,Cubiceps pauciradiatus,Bigeye cigarfish (_Cubiceps pauciradiatus_),172546,527,61672,erdCalCOFIlrvcntCPtoDE.csv
NA,Cyclopsetta,NA (_Cyclopsetta_),172775,930,61672,erdCalCOFIlrvcntCPtoDE.csv
God's flounder,Cyclopsetta panamensis,God's flounder (_Cyclopsetta panamensis_),616306,939,61672,erdCalCOFIlrvcntCPtoDE.csv
"Snailfishes, Lumpsuckers",Cyclopteridae,"Snailfishes, Lumpsuckers (_Cyclopteridae_)",167483,770,61672,erdCalCOFIlrvcntCPtoDE.csv
NA,Cyclothone,NA (_Cyclothone_),162164,76,61672,erdCalCOFIlrvcntCPtoDE.csv
Benttooth bristlemouth,Cyclothone acclinidens,Benttooth bristlemouth (_Cyclothone acclinidens_),162172,77,61721,erdCalCOFIlrvcntCPtoDE.csv
Slender bristlemouth,Cyclothone pseudopallida,Slender bristlemouth (_Cyclothone pseudopallida_),162175,79,61721,erdCalCOFIlrvcntCPtoDE.csv
Showy bristlemouth,Cyclothone signata,Showy bristlemouth (_Cyclothone signata_),162168,78,61672,erdCalCOFIlrvcntCPtoDE.csv
Bobtail eel,Cyema atrum,Bobtail eel (_Cyema atrum_),161632,367,61672,erdCalCOFIlrvcntCPtoDE.csv
Bobtail Eels,Cyematidae,Bobtail Eels (_Cyematidae_),161630,368,61672,erdCalCOFIlrvcntCPtoDE.csv
Tonguefishes,Cynoglossidae,Tonguefishes (_Cynoglossidae_),173060,965,61672,erdCalCOFIlrvcntCPtoDE.csv
Sand stargazers,Dactyloscopidae,Sand stargazers (_Dactyloscopidae_),171036,817,61672,erdCalCOFIlrvcntCPtoDE.csv
Bottlelight,Danaphos oculatus,Bottlelight (_Danaphos oculatus_),162232,84,61672,erdCalCOFIlrvcntCPtoDE.csv
Scads,Decapterus,Scads (_Decapterus_),168723,508,61672,erdCalCOFIlrvcntCPtoDE.csv
Longneck eel,Derichthys serpentinus,Longneck eel (_Derichthys serpentinus_),161601,1025,61672,erdCalCOFIlrvcntCPtoDE.csv
Whiptail ribbonfish,Desmodema lorum,Whiptail ribbonfish (_Desmodema lorum_),166351,385,61672,erdCalCOFIlrvcntCPtoDE.csv
Headlightfishes,Diaphus,Headlightfishes (_Diaphus_),162583,228,76143,erdCalCOFIlrvcntDHtoEC.csv
Pacific headlightfish,Diaphus pacificus,Pacific headlightfish (_Diaphus pacificus_),623790,229,76143,erdCalCOFIlrvcntDHtoEC.csv
California headlightfish,Diaphus theta,California headlightfish (_Diaphus theta_),162584,227,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Diodon,NA (_Diodon_),173390,424,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Diodon eydouxii,NA (_Diodon eydouxii_),615870,421,76143,erdCalCOFIlrvcntDHtoEC.csv
Balloonfish,Diodon holocanthus,Balloonfish (_Diodon holocanthus_),173392,422,76143,erdCalCOFIlrvcntDHtoEC.csv
Porcupinefish,Diodon hystrix,Porcupinefish (_Diodon hystrix_),173391,419,76143,erdCalCOFIlrvcntDHtoEC.csv
Porcupinefishes,Diodontidae,Porcupinefishes (_Diodontidae_),173382,2309,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Diogenichthys,NA (_Diogenichthys_),162675,241,76143,erdCalCOFIlrvcntDHtoEC.csv
Diogenes lanternfish,Diogenichthys laternatus,Diogenes lanternfish (_Diogenichthys laternatus_),162677,242,76143,erdCalCOFIlrvcntDHtoEC.csv
Dwarf lanternfish,Loweina rara,Dwarf lanternfish (_Loweina rara_),162717,270,76143,erdCalCOFIlrvcntLJtoMA.csv
NA,Diplectrum,NA (_Diplectrum_),167791,433,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Diplophos,NA (_Diplophos_),162179,86,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Diplophos proximus,NA (_Diplophos proximus_),622691,85,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Diplophos taenia,NA (_Diplophos taenia_),162181,87,76143,erdCalCOFIlrvcntDHtoEC.csv
Ribbon snake mackerel,Diplospinus multistriatus,Ribbon snake mackerel (_Diplospinus multistriatus_),172376,597,76143,erdCalCOFIlrvcntDHtoEC.csv
Parin's spinyfin,Diretmichthys parini,Parin's spinyfin (_Diretmichthys parini_),622111,1411,76143,erdCalCOFIlrvcntDHtoEC.csv
Silver spinyfin,Diretmoides pauciradiatus,Silver spinyfin (_Diretmoides pauciradiatus_),622112,391,76143,erdCalCOFIlrvcntDHtoEC.csv
Silver spinyfin,Diretmus argenteus,Silver spinyfin (_Diretmus argenteus_),166133,1412,76143,erdCalCOFIlrvcntDHtoEC.csv
Disintegrated fish larvae,Disintegrated fish larvae,Disintegrated fish larvae (_Disintegrated fish larvae_),NaN,2,76143,erdCalCOFIlrvcntDHtoEC.csv
Longsnout blacksmelt,Dolicholagus longirostris,Longsnout blacksmelt (_Dolicholagus longirostris_),623331,73,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Dolichopteryx,NA (_Dolichopteryx_),162102,1100,76143,erdCalCOFIlrvcntDHtoEC.csv
Brownsnout spookfish,Dolichopteryx longipes,Brownsnout spookfish (_Dolichopteryx longipes_),162103,52,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Dolopichthys,NA (_Dolopichthys_),164635,976,76143,erdCalCOFIlrvcntDHtoEC.csv
Pacific fat sleeper,Dormitator latifrons,Pacific fat sleeper (_Dormitator latifrons_),171918,803,76143,erdCalCOFIlrvcntDHtoEC.csv
Remoras,Echeneidae,Remoras (_Echeneidae_),168567,1656,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Echiodon,NA (_Echiodon_),165114,1323,76143,erdCalCOFIlrvcntDHtoEC.csv
NA,Echiodon exsilium,NA (_Echiodon exsilium_),165117,876,76143,erdCalCOFIlrvcntDHtoEC.csv
Rainbow runner,Elagatis bipinnulatus,Rainbow runner (_Elagatis bipinnulatus_),642020,504,76143,erdCalCOFIlrvcntEDtoEU.csv
Chubby flashlightfish,Electrona risso,Chubby flashlightfish (_Electrona risso_),623732,243,76143,erdCalCOFIlrvcntEDtoEU.csv
Sleepers,Eleotridae,Sleepers (_Eleotridae_),172171,807,76143,erdCalCOFIlrvcntEDtoEU.csv
Machete,Elops affinis,Machete (_Elops affinis_),161112,4,76143,erdCalCOFIlrvcntEDtoEU.csv
Deepsea sole,Embassichthys bathybius,Deepsea sole (_Embassichthys bathybius_),172866,961,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Encheliophis,NA (_Encheliophis_),165119,1325,76143,erdCalCOFIlrvcntEDtoEU.csv
Anchovies,Engraulidae,Anchovies (_Engraulidae_),553173,25,76143,erdCalCOFIlrvcntEDtoEU.csv
Buccaneer anchovy,Encrasicholina punctifer,Buccaneer anchovy (_Encrasicholina punctifer_),161879,1075,76143,erdCalCOFIlrvcntEDtoEU.csv
Northern anchovy,Engraulis mordax,Northern anchovy (_Engraulis mordax_),161828,31,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Engraulis ringens,NA (_Engraulis ringens_),551340,28,76143,erdCalCOFIlrvcntEDtoEU.csv
Speckledtail flounder,Engyophrys sanctilaurentii,Speckledtail flounder (_Engyophrys sanctilaurentii_),616354,931,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Engyprosopon,NA (_Engyprosopon_),172816,2275,76143,erdCalCOFIlrvcntEDtoEU.csv
Buffalo sculpin,Enophrys bison,Buffalo sculpin (_Enophrys bison_),167267,751,76143,erdCalCOFIlrvcntEDtoEU.csv
Notchfin blenny,Entomacrodus chiostictus,Notchfin blenny (_Entomacrodus chiostictus_),171184,859,76143,erdCalCOFIlrvcntEDtoEU.csv
Petrale sole,Eopsetta jordani,Petrale sole (_Eopsetta jordani_),172868,960,76143,erdCalCOFIlrvcntEDtoEU.csv
Spadefishes,Ephippidae,Spadefishes (_Ephippidae_),553178,615,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Epigonus,NA (_Epigonus_),168295,1650,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Epinephelinae,NA (_Epinephelinae_),551018,427,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Epinephelus,NA (_Epinephelus_),167694,426,76143,erdCalCOFIlrvcntEDtoEU.csv
Spotted cabrilla,Epinephelus analogus,Spotted cabrilla (_Epinephelus analogus_),167697,1600,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Erotelis armiger,NA (_Erotelis armiger_),637280,808,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Etropus,NA (_Etropus_),172728,913,76143,erdCalCOFIlrvcntEDtoEU.csv
Fringed flounder,Etropus crossotus,Fringed flounder (_Etropus crossotus_),172729,928,76143,erdCalCOFIlrvcntEDtoEU.csv
Peruvian flounder,Etropus peruvianus,Peruvian flounder (_Etropus peruvianus_),616374,938,76143,erdCalCOFIlrvcntEDtoEU.csv
Round herring,Etrumeus teres,Round herring (_Etrumeus teres_),161743,12,76143,erdCalCOFIlrvcntEDtoEU.csv
Pacific flagfin mojarra,Eucinostomus,Pacific flagfin mojarra (_Eucinostomus_),169014,496,76143,erdCalCOFIlrvcntEDtoEU.csv
Umbrellamouth gulper,Eurypharynx pelecanoides,Umbrellamouth gulper (_Eurypharynx pelecanoides_),161653,348,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Eustomias,NA (_Eustomias_),162248,136,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Eutaeniophorus,NA (_Eutaeniophorus_),162814,351,76143,erdCalCOFIlrvcntEDtoEU.csv
Festive ribbontail,Eutaeniophorus festivus,Festive ribbontail (_Eutaeniophorus festivus_),162815,352,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Euthynnus,NA (_Euthynnus_),172399,564,76143,erdCalCOFIlrvcntEDtoEU.csv
Black skipjack,Euthynnus lineatus,Black skipjack (_Euthynnus lineatus_),172405,565,76143,erdCalCOFIlrvcntEDtoEU.csv
NA,Evermannella,NA (_Evermannella_),162541,1250,76143,erdCalCOFIlrvcntEVtoGN.csv
NA,Evermannella ahlstromi,NA (_Evermannella ahlstromi_),644723,347,76143,erdCalCOFIlrvcntEVtoGN.csv
Sabertooth,Evermannella indica,Sabertooth (_Evermannella indica_),162544,346,76143,erdCalCOFIlrvcntEVtoGN.csv
Sabertooth Fishes,Evermannellidae,Sabertooth Fishes (_Evermannellidae_),162535,345,76143,erdCalCOFIlrvcntEVtoGN.csv
Flyingfishes,Exocoetidae,Flyingfishes (_Exocoetidae_),165431,180,76143,erdCalCOFIlrvcntEVtoGN.csv
NA,Exocoetus,NA (_Exocoetus_),165506,158,76143,erdCalCOFIlrvcntEVtoGN.csv
Barbel flyingfish,Exocoetus monocirrhus,Barbel flyingfish (_Exocoetus monocirrhus_),165509,169,76143,erdCalCOFIlrvcntEVtoGN.csv
Tropical two-wing flyingfish,Exocoetus volitans,Tropical two-wing flyingfish (_Exocoetus volitans_),165508,159,76143,erdCalCOFIlrvcntEVtoGN.csv
Dogface witch eel,Facciolella gilberti,Dogface witch eel (_Facciolella gilberti_),161304,353,76143,erdCalCOFIlrvcntEVtoGN.csv
Deepwater cornetfish,Fistularia corneta,Deepwater cornetfish (_Fistularia corneta_),644991,1485,76143,erdCalCOFIlrvcntEVtoGN.csv
Cornetfishes,Fistulariidae,Cornetfishes (_Fistulariidae_),166414,785,76143,erdCalCOFIlrvcntEVtoGN.csv
Sharpchin flyingfish,Fodiator acutus,Sharpchin flyingfish (_Fodiator acutus_),165511,185,76143,erdCalCOFIlrvcntEVtoGN.csv
NA,Gadiformes,NA (_Gadiformes_),164665,1300,76143,erdCalCOFIlrvcntEVtoGN.csv
Pacific cod,Gadus macrocephalus,Pacific cod (_Gadus macrocephalus_),164711,904,76143,erdCalCOFIlrvcntEVtoGN.csv
Snake Mackerels,Gempylidae,Snake Mackerels (_Gempylidae_),172354,590,76143,erdCalCOFIlrvcntEVtoGN.csv
Snake Mackerel,Gempylus serpens,Snake Mackerel (_Gempylus serpens_),172360,591,76143,erdCalCOFIlrvcntEVtoGN.csv
White croaker,Genyonemus lineatus,White croaker (_Genyonemus lineatus_),169257,612,76143,erdCalCOFIlrvcntEVtoGN.csv
Mojarras,Gerreidae,Mojarras (_Gerreidae_),169013,495,76143,erdCalCOFIlrvcntEVtoGN.csv
Spotted kelpfish,Gibbonsia elegans,Spotted kelpfish (_Gibbonsia elegans_),171401,2015,76143,erdCalCOFIlrvcntEVtoGN.csv
NA,Gibbonsia metzi,NA (_Gibbonsia metzi_),171398,2016,76143,erdCalCOFIlrvcntEVtoGN.csv
NA,Gibbonsia spp.,NA (_Gibbonsia spp._),171397,841,76143,erdCalCOFIlrvcntEVtoGN.csv
Whipnoses,Gigantactinidae,Whipnoses (_Gigantactinidae_),164642,995,76143,erdCalCOFIlrvcntEVtoGN.csv
Whipnoses,Gigantactis,Whipnoses (_Gigantactis_),164643,996,76143,erdCalCOFIlrvcntEVtoGN.csv
Telescopefish,Gigantura indica,Telescopefish (_Gigantura indica_),644689,1180,76143,erdCalCOFIlrvcntEVtoGN.csv
sand stargazer,Gillellus,sand stargazer (_Gillellus_),171037,2020,76143,erdCalCOFIlrvcntEVtoGN.csv
Longjaw mudsucker,Gillichthys mirabilis,Longjaw mudsucker (_Gillichthys mirabilis_),171967,2115,76143,erdCalCOFIlrvcntEVtoGN.csv
Opaleye,Girella nigricans,Opaleye (_Girella nigricans_),169515,656,76143,erdCalCOFIlrvcntEVtoGN.csv
Rex sole,Glyptocephalus zachirus,Rex sole (_Glyptocephalus zachirus_),172978,941,76143,erdCalCOFIlrvcntEVtoGN.csv
Golden jack,Gnathanodon speciosus,Golden jack (_Gnathanodon speciosus_),168753,491,76143,erdCalCOFIlrvcntEVtoGN.csv
NA,Gnatholepis,NA (_Gnatholepis_),171827,2120,76143,erdCalCOFIlrvcntEVtoGN.csv
Catalina conger,Gnathophis cinctus,Catalina conger (_Gnathophis cinctus_),635714,1020,76143,erdCalCOFIlrvcntEVtoGN.csv
Clingfishes,Gobiesocidae,Clingfishes (_Gobiesocidae_),164457,825,76143,erdCalCOFIlrvcntGOtoHA.csv
NA,Gobiesox,NA (_Gobiesox_),164458,1357,76143,erdCalCOFIlrvcntGOtoHA.csv
Lined clingfish,Gobiesox eugrammus,Lined clingfish (_Gobiesox eugrammus_),164461,827,76143,erdCalCOFIlrvcntGOtoHA.csv
Northern clingfish,Gobiesox maeandricus,Northern clingfish (_Gobiesox maeandricus_),164459,826,76143,erdCalCOFIlrvcntGOtoHA.csv
California clingfish,Gobiesox rhessodon,California clingfish (_Gobiesox rhessodon_),164464,818,76143,erdCalCOFIlrvcntGOtoHA.csv
Gobies,Gobiidae,Gobies (_Gobiidae_),171746,795,76143,erdCalCOFIlrvcntGOtoHA.csv
NA,Gobulus crescentalis,NA (_Gobulus crescentalis_),637464,2125,76143,erdCalCOFIlrvcntGOtoHA.csv
Evermann's lanternfish,Symbolophorus evermanni,Evermann's lanternfish (_Symbolophorus evermanni_),162671,297,55217,erdCalCOFIlrvcntSUtoTE.csv
NA,Gonostoma,NA (_Gonostoma_),162182,80,76143,erdCalCOFIlrvcntGOtoHA.csv
Atlantic fangjaw,Gonostoma atlanticum,Atlantic fangjaw (_Gonostoma atlanticum_),162183,81,76143,erdCalCOFIlrvcntGOtoHA.csv
Bristlemouths,Gonostomatidae,Bristlemouths (_Gonostomatidae_),162163,75,76143,erdCalCOFIlrvcntGOtoHA.csv
Curious wormfish,Gunnellichthys curiosus,Curious wormfish (_Gunnellichthys curiosus_),637470,2160,76143,erdCalCOFIlrvcntGOtoHA.csv
NA,Gymnothorax,NA (_Gymnothorax_),161185,349,76143,erdCalCOFIlrvcntGOtoHA.csv
California moray,Gymnothorax mordax,California moray (_Gymnothorax mordax_),161194,372,76143,erdCalCOFIlrvcntGOtoHA.csv
Grunts,Haemulidae,Grunts (_Haemulidae_),169055,600,76143,erdCalCOFIlrvcntGOtoHA.csv
NA,Haemulon,NA (_Haemulon_),169057,456,76143,erdCalCOFIlrvcntGOtoHA.csv
NA,Halichoeres,NA (_Halichoeres_),170501,636,76143,erdCalCOFIlrvcntGOtoHA.csv
chameleon wrasse,Halichoeres dispilus,chameleon wrasse (_Halichoeres dispilus_),613701,1855,76143,erdCalCOFIlrvcntGOtoHA.csv
Rock wrasse,Halichoeres semicinctus,Rock wrasse (_Halichoeres semicinctus_),170511,637,76143,erdCalCOFIlrvcntGOtoHA.csv
Flatiron herring,Harengula thrissina,Flatiron herring (_Harengula thrissina_),161757,21,76143,erdCalCOFIlrvcntGOtoHA.csv
NA,Hemanthias,NA (_Hemanthias_),167799,448,76143,erdCalCOFIlrvcntHBtoHI.csv
Rose threadfin bass,Hemanthias peruanus,Rose threadfin bass (_Hemanthias peruanus_),167802,437,76143,erdCalCOFIlrvcntHBtoHI.csv
Deepwater thread bass (splittail bass),Hemanthias signifer,Deepwater thread bass (splittail bass) (_Hemanthias signifer_),167804,439,76143,erdCalCOFIlrvcntHBtoHI.csv
